"368"	"Udblac"	"U"	"\H{U}"	U
"369"	"udblac"	"u"	"\H{u}"	L
"370"	"Uogon"	"U"	"\c{U}"	U
"371"	"uogon"	"u"	"\c{u}"	L
"372"	"Wcirc"	"W"	"\^{W}"	U
"373"	"wcirc"	"w"	"\^{w}"	L
"374"	"Ycirc"	"Y"	"\^{Y}"	U
"375"	"ycirc"	"y"	"\^{y}"	L
"376"	"Yuml"	"Y"	"\"{Y}"	U
"377"	"Zacute"	"Z"	"\'{Z}"	U
"378"	"zacute"	"z"	"\'{z}"	L
"379"	"Zdot"	"Z"	"\.{Z}"	U
"380"	"zdot"	"z"	"\.{z}"	L
"381"	"Zcaron"	"Z"	"\v{Z}"	U
"382"	"zcaron"	"z"	"\v{z}"	L
"402"	"fnof"	"f"	"${\cal f}$"	L
"461"	"Acaron"	"A"	"\v{A}"	U
"462"	"acaron"	"a"	"\v{a}"	L
"463"	"Icaron"	"I"	"\v{I}"	U
"464"	"icaron"	"i"	"\v{i}"	L
"465"	"Ocaron"	"O"	"\v{O}"	U
"466"	"ocaron"	"o"	"\v{o}"	L
"467"	"Ucaron"	"U"	"\v{U}"	U
"468"	"ucaron"	"u"	"\v{u}"	L
"486"	"Gcaron"	"G"	"\v{G}"	U
"487"	"gcaron"	"g"	"\v{g}"	L
"488"	"Kcaron"	"K"	"\v{K}"	U
"489"	"kcaron"	"k"	"\v{k}"	L
"490"	"Oogon"	"O"	"\c{O}"	U
"491"	"oogon"	"o"	"\c{o}"	L
"496"	"jcaron"	"j"	"\v{j}"	L
"500"	"Gacute"	"G"	"\'{G}"	U
"501"	"gacute"	"g"	"\'{g}"	L
"504"	"Ngrave"	"N"	"\`{N}"	U
"505"	"ngrave"	"n"	"\`{n}"	L
"542"	"Hcaron"	"H"	"\v{H}"	U
"543"	"hcaron"	"h"	"\v{h}"	L
"550"	"Adot"	"A"	"\.{A}"	U
"551"	"adot"	"a"	"\.{a}"	L
"552"	"Ecedil"	"E"	"\c{E}"	U
"553"	"ecedil"	"e"	"\c{e}"	L
"558"	"Odot"	"O"	"\.{O}"	U
"559"	"odot"	"o"	"\.{o}"	L
"562"	"Ymacr"	"Y"	"\={Y}"	U
"563"	"ymacr"	"y"	"\={y}"	L
"603"	"epsi"	"&epsilon;"	"$\epsilon$"
"603"	"epsilon"	"&epsilon;"	"$\epsilon$"	P
"604"	"backeps"	"&backeps;"	"$\backepsilon$"	P
"604"	"bepsi"	"&bepsi;"	"$\backepsilon$"
"607"	"jnodot"	"j"	"\j"	L
"699"	"acute"	"&acute;"	"$\acute{\phantom{o}}$"	P
"711"	"caron"	"&caron;"	"$\v{\phantom{o}}$"	P
"729"	"dot"	"&dot;"	"$\.$"	P
"730"	"ring"	"&ring;"	"$\circ$"	P
"731"	"ogon"	"&ogon;"	"$\c{\phantom{o}}$"	P
"732"	"sim"	"&tilde;"	"$\~{\phantom{o}}$"	
"732"	"tilde"	"&tilde;"	"$\~{\phantom{o}}$"	P
"733"	"dblac"	"&dblac;"	"$\long{\phantom{o}}$"	P
"768"	"d13"	"&grave;"	"$\grave{\phantom{o}}$"
"768"	"grave"	"&grave;"	"$\grave{\phantom{o}}$"	P
