# abbreviations used in physics journals
PlPh.....	Plasma Phys
PrPh.....	Fortschr Phys
Prir.....	Priroda
IEEEP....	Proc IEEE
InASP....	Proc Indian Natl Acad Sci A
PJA......	Proc Jpn Acad B
PNAS.....	Proc Nat Acad Sci
PNAS.....	Proc Nat Acad Sci USA
PNAS.....	Proc Natl Acad Sci USA
RSLPS....	Proc R. Soc
RSLPS....	Proc R. Soc (London)
RSLPS....	Proc R. Soc (London) Ser A
RSLPS....	Proc R. Soc A
RSLPS....	Proc R. Soc London
RSLPS....	Proc R. Soc London A
RSLPS....	Proc R. Soc London Ser A
PrMS.....	Prog Mater Sci
PQE......	Prog Quantum Electron
PThPh....	Prog Teor Phys
PThPh....	Prog Theor Phys
PThPS....	Prog Theor Phys Suppl
PApGe....	Pure Appl Geophys
RCARv....	RCA Rev
RadEf....	Rad Eff
RadEf....	Rad Eff Def Solids
RaRe.....	Rad Res
RadEf....	Radiat Eff
RadEf....	Radiat Eff Defect Solids
RaSc.....	Radio Sci
RaF......	Radiofizika
R&QE.....	Radiophys Quantum Electron
Rech.....	Recherche
RPPh.....	Rep Prog Phys
RvMP.....	Rev Mod Phy
RvMP.....	Rev Mod Phys
RvMP.....	Rev Mod Phys B
RvOp.....	Rev Opt
RvPA.....	Rev Phys Appl
RvRP.....	Rev Roum Phys
RScI.....	Rev Sci Instr
RScI.....	Rev Sci Instrum
RScI.....	Rev Sci Intrum
SJAM.....	SIAM J. Appl Math
SIAMR....	SIAM Rev
SciAm....	Sci Am
ReToh....	Sci Rep RITU A
ReToh....	Sci Rep Res Inst Tohoku Univ Ser A
SciSi....	Sci Sin
ScM......	Scr Metall
ScM......	Scr Metall
ScMM.....	Scr Met Mat
ScMM.....	Scr Metall Mater
ScM......	Scripta Metall
SeScT....	Semi- cond Sci Technol
SeScT....	Semicond Sci Tech
SeScT....	Semicond Sci Technol
SeScT....	Semicond Sci Technol B
SoCe.....	Solar Cells
SoEnM....	Solar Energy Mater
SSCom....	Solid State Comm
SSCom....	Solid State Commun
SSEle....	Solid State Electron
SvPhU....	Sov Phys Usp
SSRvA....	Sov Sci Rev A
AcSpe....	Spectrochim Acta
JSP......	Stat Phys
PThPS....	Sup Prog Theor Phys
SuScT....	Supercon Sci Technol
SuScT....	Supercond Sci Tech
SuScT....	Supercond Sci Technol
SuScT....	Superconduct Science Tech
JSup.....	Superconductivity
SuScT....	Superconductivity Sci Tech
PThPS....	Suppl Prog Theor Phys
SurSc....	Surf Sci
TepVT....	Teplofiz Vys Temp
AcTC.....	Theor Chim Acta
AcTC.....	Theoret Chim Acta
TSF......	Thin Solid Films
ITAS.....	Trans Appl Supercond
UkFiZ....	Ukr Fiz Zh
UkFiZ....	Ukr Fiz Zh (Russ Ed)
Ultmi....	Ultramicrosc
Ultmi....	Ultramicroscopy
UsFiN....	Usp Fiz Nauk
Vac......	Vacuum
